transaction_id,date,customer_id,amount,category,payment_method,description,fraud_risk
TX00001,2025-01-25,CUST0263,26.07,Electronics,Wallet,Paid for online advertising credits.,0
TX00002,2025-01-09,CUST0155,158.41,Electronics,Card,Ordered pet food online.,1
TX00003,2025-02-25,CUST0128,180.13,Food,Wallet,Automated marketing platform.,0
TX00004,2025-03-25,CUST0079,49.31,Utilities,Wallet,Purchased a yoga class drop-in.,0
TX00005,2025-02-04,CUST0224,376.63,Entertainment,Debit,Bought bird seed.,1
TX00006,2025-02-08,CUST0025,48.22,Travel,Card,Paid a parking fine.,0
TX00007,2025-03-04,CUST0059,146.15,Utilities,Wallet,Paid for cloud hosting services.,0
TX00008,2025-03-31,CUST0055,26.0,Education,Bank Transfer,Purchased a bath mat.,0
TX00009,2025-01-21,CUST0088,84.8,Utilities,Bank Transfer,Paid for a virtual assistant service.,0
TX00010,2025-03-20,CUST0138,71.75,Travel,Bank Transfer,Paid for a chiropractor appointment.,0
TX00011,2025-02-20,CUST0267,16.52,Education,Wallet,Received a grant funding for scientific research.,0
TX00012,2025-01-17,CUST0232,23.29,Utilities,Bank Transfer,Office supplies ordered online.,0
TX00013,2025-03-15,CUST0163,67.46,Clothing,Bank Transfer,Transferred funds to charity.,0
TX00014,2025-03-18,CUST0003,51.93,Travel,Debit,Online learning platform subscription.,0
TX00015,2025-02-28,CUST0222,120.26,Utilities,Bank Transfer,Deposited a money order.,0
TX00016,2025-03-09,CUST0007,138.64,Food,Card,Website hosting bill paid.,0
TX00017,2025-02-06,CUST0038,14.7,Education,Wallet,Travel expenses for client meeting.,0
TX00018,2025-02-06,CUST0074,235.34,Food,Bank Transfer,Sold old furniture on Facebook Marketplace.,1
TX00019,2025-03-26,CUST0077,45.45,Entertainment,Debit,Online learning platform subscription.,0
TX00020,2025-01-18,CUST0246,49.81,Electronics,Debit,Property taxes paid for the year.,0
TX00021,2025-03-29,CUST0104,165.55,Entertainment,Wallet,Fleet vehicle maintenance bill.,0
TX00022,2025-01-27,CUST0192,11.33,Entertainment,Debit,Paid a certificate of deposit penalty.,0
TX00023,2025-02-24,CUST0198,10.33,Food,Debit,Office rent payment processed.,0
TX00024,2025-03-31,CUST0032,217.49,Food,Card,Credit card cash advance.,0
TX00025,2025-01-23,CUST0279,67.2,Electronics,Card,Roadside assistance membership.,0
TX00026,2025-02-28,CUST0065,99.68,Food,Bank Transfer,Sold a piece of furniture.,0
TX00027,2025-02-20,CUST0075,23.09,Travel,Bank Transfer,Website hosting bill paid.,0
TX00028,2025-03-01,CUST0089,35.87,Travel,Wallet,Transferred funds to investment account.,0
TX00029,2025-01-02,CUST0249,50.68,Clothing,Bank Transfer,Paid for a bulk email service.,0
TX00030,2025-03-06,CUST0280,56.16,Utilities,Card,Ordered replacement ink cartridges.,0
TX00031,2025-03-15,CUST0040,5.44,Entertainment,Card,Paid for taxi ride to airport.,0
TX00032,2025-02-10,CUST0027,50.72,Clothing,Bank Transfer,Paid for a virtual assistant service.,0
TX00033,2025-02-05,CUST0298,110.05,Education,Card,Paid for a design assets library.,0
TX00034,2025-02-19,CUST0139,111.86,Electronics,Bank Transfer,Received a grant funding for scientific research.,1
TX00035,2025-03-03,CUST0113,109.27,Electronics,Bank Transfer,Business dinner with potential client.,0
TX00036,2025-03-19,CUST0200,56.92,Electronics,Bank Transfer,Paid for a company wide software license.,0
