transaction_id,timestamp,customer_id,transaction_amount,account_balance_before,account_balance_after,transaction_frequency_24h,avg_transaction_amount_7d,num_failed_transactions_7d,time_since_last_transaction_hr,transaction_hour,is_weekend,account_age_days,user_risk_score,num_devices_used,num_countries_used,previous_fraud_count,kyc_verified,transaction_type,merchant_category,device_type,location_match,payment_channel,transaction_description,merchant_name,customer_support_note,is_fraud,description_risk_score,description_tone,semantic_merchant_category
TX000000,2025-01-01 08:39:39,CUST0160,83.82,3352.85,3269.03,0,0.0,0,2840.66,8,0,118,0.0147230147858645,2,0,0,0,online purchase,Food,mobile,1,card,Morning breakfast and coffee order for the office team.,Corner Bakery Cafe,Standard morning purchase.,0,1,routine,daily essentials
TX000001,2025-01-01 07:28:40,CUST0004,19.65,436.64,416.99,0,0.0,0,7351.48,7,0,306,0.2415296014007472,2,0,0,1,online purchase,Travel,mobile,1,card,Monthly transit pass renewal for commuter train services.,Metro Transit Authority,,0,1,routine,daily essentials
TX000002,2025-01-01 19:15:23,CUST0289,192.09,2401.12,2209.03,0,0.0,0,91.26,19,0,3,0.1265325198492471,1,0,0,0,online purchase,Clothing,desktop,1,card,Purchase of a new denim jacket and accessories.,Urban Outfitters,,0,1,routine,other
TX000003,2025-01-01 03:24:49,CUST0202,1612.91,1897.54,284.63,0,0.0,0,3819.41,3,0,159,0.3581711866055946,1,1,0,1,online purchase,Electronics,desktop,0,card,URGENT: High-end luxury watch purchase from overseas IP address.,Luxury Swiss Boutique,Transaction originated from a known high-risk proxy server.,1,9,urgent,luxury goods
TX000004,2025-01-01 10:12:35,CUST0092,331.14,2759.51,2428.37,0,0.0,0,2482.21,10,0,103,0.745065288179806,2,0,0,0,transfer,Utilities,desktop,1,bank,Payment for monthly residential electricity and water usage.,City Power & Light,Recurring monthly utility payment.,0,1,routine,daily essentials
TX000005,2025-01-01 17:03:28,CUST0133,249.76,4995.11,4745.35,0,0.0,0,4841.06,17,0,201,0.0090070462200541,1,0,0,0,online purchase,Food,mobile,1,card,Weekly grocery shopping for fresh produce and pantry staples.,Whole Foods Market,,0,1,routine,daily essentials
TX000006,2025-01-01 21:21:57,CUST0071,17.28,1152.19,1134.91,0,0.0,0,1365.37,21,0,56,0.0454101854858288,1,0,0,1,online purchase,Entertainment,desktop,1,e-wallet,Purchase of a digital expansion pack for a video game.,Steam Games,,0,1,routine,other
TX000007,2025-01-01 14:11:58,CUST0104,23.98,799.32,775.34,0,0.0,0,3974.2,14,0,165,0.2575039472397014,1,0,0,1,online purchase,Electronics,mobile,1,card,Buying a replacement charging cable and phone case.,Amazon,,0,1,routine,other
TX000008,2025-01-01 00:19:17,CUST0165,2.08,416.19,414.11,0,0.0,0,6528.32,0,0,272,0.1739721851660722,2,0,0,0,online purchase,Entertainment,desktop,1,card,Monthly subscription fee for streaming video services.,Netflix,Automated recurring charge.,0,1,routine,services
TX000009,2025-01-01 11:06:00,CUST0087,1391.91,3976.89,2584.98,0,0.0,0,4499.1,11,0,187,0.2215632872646478,1,0,0,1,online purchase,Travel,desktop,1,card,Booking a round-trip flight for a summer vacation.,Delta Airlines,,0,2,routine,services
TX000010,2025-01-02 16:20:55,CUST0300,39.25,981.34,942.09,0,0.0,0,3448.35,16,0,143,0.0603691501968914,2,0,0,1,online purchase,Services,mobile,1,card,Refueling the vehicle at a local petrol station.,Shell Gas,,0,1,routine,daily essentials
TX000011,2025-01-02 09:37:07,CUST0208,105.77,2115.4,2009.63,0,0.0,0,5697.62,9,0,237,0.764871434110498,1,0,0,0,online purchase,Food,desktop,1,card,Weekly meal kit delivery subscription box.,Blue Apron,,0,1,routine,services
